Product;UPC
365 EVERYDAY VALUE  FRENCH TOASTER STICKS   ;99482442835
365 EVERYDAY VALUE  FRENCH VANILLA STEVIA EXTRACT LIQUID   ;99482427962
365 EVERYDAY VALUE  FRENCH VANILLA STEVIA EXTRACT   ;99482455798
365 EVERYDAY VALUE  FRUIT SPREAD  APRICOT   ;99482460495
365 EVERYDAY VALUE  FRUIT SPREAD  RASPBERRY   ;99482460488
365 EVERYDAY VALUE  FRUIT SPREAD  RASPBERRY   ;99482410346
365 EVERYDAY VALUE  FRUIT SPREAD  STRAWBERRY   ;99482460471
365 EVERYDAY VALUE  FUSILLI PREMIUM ITALIAN PASTA  MACARONI PRODUCTS   ;99482431761
365 EVERYDAY VALUE  GOAT CHEESE   ;99482434045
365 EVERYDAY VALUE  GOLDEN ROUND CRACKERS   ;99482438470
365 EVERYDAY VALUE  GOUDA CHEESE SLICES   ;99482460006
365 EVERYDAY VALUE  GRADE A MAPLE SYRUP   ;99482408411
365 EVERYDAY VALUE  GRADE A ORGANIC LOWFAT YOGURT  BLUEBERRY LEMON   ;99482453893
365 EVERYDAY VALUE  8 GRAIN BREAD   ;99482449667
365 EVERYDAY VALUE  GRANNY SMITH APPLE SLICES   ;99482453176
365 EVERYDAY VALUE  GRAPEFRUIT JUICE   ;99482406981
365 EVERYDAY VALUE  GRATED PARMESAN CHEESE   ;99482457488
365 EVERYDAY VALUE  GRILLED BARBECUE SAUCE  PINEAPPLE & MOONSHINE   ;99482458669
365 EVERYDAY VALUE  GROUND ORGANIC SESAME SEEDS TAHINI   ;99482444495
365 EVERYDAY VALUE  HALF & HALF   ;99482426309
365 EVERYDAY VALUE  HALF & HALF   ;99482459352
365 EVERYDAY VALUE  HALF & HALF   ;99482459345
365 EVERYDAY VALUE  HARICOTS VERTS   ;99482407551
365 EVERYDAY VALUE  HEAVY CREAM   ;99482433383
365 EVERYDAY VALUE  HEAVY CREAM   ;99482459338
365 EVERYDAY VALUE  HEMP SEED   ;99482454753
365 EVERYDAY VALUE  HODGEPODGE HARVEST TRAIL MIX   ;99482434601
365 EVERYDAY VALUE  HONEY MUSTARD  PALE ALE   ;99482454340
365 EVERYDAY VALUE  HOT COCOA DRINK MIX   ;99482456818
365 EVERYDAY VALUE  HOT DOG BUNS   ;99482456009
365 EVERYDAY VALUE  HOT SAUCE  HABANERO   ;99482450366
365 EVERYDAY VALUE  ICE CREAM  BUTTER PECAN   ;99482450885
365 EVERYDAY VALUE  ICE CREAM SANDWICH   ;99482449674
365 EVERYDAY VALUE  INDIAN BASMATI RICE   ;99482450526
365 EVERYDAY VALUE  INSTANT HOT CEREAL  MULTIGRAIN & CHIA TRIPLE BERRY   ;99482461157
365 EVERYDAY VALUE  ISLAND HOPPER TRAIL MIX   ;99482440176
365 EVERYDAY VALUE  ITALIAN HERB PASTA SAUCE   ;99482455736
365 EVERYDAY VALUE  JUICE FROM CONCENTRATE  FRUIT PUNCH   ;99482453992
365 EVERYDAY VALUE  100% JUICE  PRUNE   ;99482420888
365 EVERYDAY VALUE  JUST FRUIT STRAWBERRY FRUIT SPREAD  STRAWBERRY   ;99482410339
365 EVERYDAY VALUE  JUST WILD BLUEBERRY FRUIT SPREAD  BLUEBERRY   ;99482410377
365 EVERYDAY VALUE  KAHUNA CRUNCH TRAIL MIX   ;99482436315
365 EVERYDAY VALUE  KETTLE COOKED POTATO CHIPS   ;99482444518
365 EVERYDAY VALUE  KOSHER SEA SALT COARSE  SEA SALT   ;99482446116
365 EVERYDAY VALUE  LASAGNE   ;99482417086
365 EVERYDAY VALUE  LEMONADE  STRAWBERRY   ;99482440961
365 EVERYDAY VALUE  LEMONADE   ;99482456085
365 EVERYDAY VALUE  LEMON JUICE   ;99482424220
365 EVERYDAY VALUE  LIGHT BALSAMIC  VINAIGRETTE   ;99482448240
365 EVERYDAY VALUE  LIGHT CREAM   ;99482433376
365 EVERYDAY VALUE  LIGHT-CREAM   ;99482459321
365 EVERYDAY VALUE  LIGHTLY SALTED TORTILLA CHIPS  MULTIGRAIN   ;99482435530
365 EVERYDAY VALUE  LITTLE CUBBIES CEREAL  OAT & CORN  MARSHMALLOW BITES   ;99482452964
365 EVERYDAY VALUE  LOWFAT CHOCOLATE MILK  CHOCOLATE   ;99482430559
365 EVERYDAY VALUE  LOWFAT CHOCOLATE MILK   ;99482430290
365 EVERYDAY VALUE  LOW FAT COTTAGE CHEESE   ;99482436520
365 EVERYDAY VALUE  LOW FAT MILK   ;99482430122
365 EVERYDAY VALUE  1% LOW FAT MILK   ;99482430139
365 EVERYDAY VALUE  LOWFAT MILK   ;99482430115
365 EVERYDAY VALUE  LOW FAT MILK   ;99482413743
365 EVERYDAY VALUE  LOW FAT MILK   ;99482423148
365 EVERYDAY VALUE  1% LOWFAT MILK   ;99482430252
365 EVERYDAY VALUE  1% LOWFAT MILK   ;99482430238
365 EVERYDAY VALUE  1% LOWFAT MILK   ;99482459260
365 EVERYDAY VALUE  LOW-MOISTURE PART-SKIM SHREDDED MOZZARELLA CHEESE   ;99482434748
365 EVERYDAY VALUE  MACADAMIA NUTS   ;99482440213
365 EVERYDAY VALUE  MACARONI & CHEESE   ;99482438197
365 EVERYDAY VALUE  MACARONI & CHEESE   ;99482427702
365 EVERYDAY VALUE  MANGO HABANERO PICKLE CHIPS   ;99482458355
365 EVERYDAY VALUE  MANGO LEMO0NADE   ;99482440978
365 EVERYDAY VALUE  MANGO SLICED   ;99482434373
365 EVERYDAY VALUE  MAPLE & SPICE INSTANT OATMEAL   ;99482419899
365 EVERYDAY VALUE  MARINARA PASTA SAUCE   ;99482455705
365 EVERYDAY VALUE  MARINATED ARTICHOKE QUARTERS   ;99482441999
365 EVERYDAY VALUE  MARMALADE FRUIT SPREAD  ORANGE   ;99482460518
365 EVERYDAY VALUE  MASHED POTATOES  GARLIC   ;99482430887
365 EVERYDAY VALUE  MEATLESS MEATBALLS   ;99482443108
365 EVERYDAY VALUE  100% MEDITERRANEAN BLEND EXTRA VIRGIN OLIVE OIL   ;99482454715
365 EVERYDAY VALUE  MICROWAVE POPCORN   ;99482428495
365 EVERYDAY VALUE  MIGHTY MULTIGRAIN   ;99482430962
365 EVERYDAY VALUE  MILD ITALIAN CHICKEN SAUSAGE   ;99482451387
365 EVERYDAY VALUE  1% MILKFAT LOWFAT MILK   ;99482430245
365 EVERYDAY VALUE  2% MILKFAT REDUCED MILK   ;99482459239
365 EVERYDAY VALUE  MILK   ;99482413781
365 EVERYDAY VALUE  MILK   ;99482423124
365 EVERYDAY VALUE  MINESTRONE SOUP   ;99482442620
365 EVERYDAY VALUE  MINESTRONE WITH FARRO SOUP   ;99482460181
365 EVERYDAY VALUE  MINI BAKING CHIPS  WHITE CHOCOLATE   ;99482447076
365 EVERYDAY VALUE  MINI CORN DOGS   ;99482457600
365 EVERYDAY VALUE  MINI PIZZAS  THREE CHEESE   ;99482412753
365 EVERYDAY VALUE  MIXED NUTS   ;99482434274
365 EVERYDAY VALUE  MONTEREY JACK CHEESE   ;99482412425
365 EVERYDAY VALUE  MORNING O'S  HONEY & NUT  LIGHTLY SWEETENED ORGANIC WHOLE GRAIN OAT & RICE FLOUR CEREAL  WITH REAL ORGANIC HONEY & ALMONDS   ;99482452940
365 EVERYDAY VALUE  MORNING O'S MULTI-GRAIN   ;99482438975
365 EVERYDAY VALUE  MORNING O'S ORGANIC WHOLE GRAIN OAT & RICE FLOUR CEREAL   ;99482439040
365 EVERYDAY VALUE  MOUNTAIN FOREST HONEY  AMBER   ;99482446130
365 EVERYDAY VALUE  MOZZARELLA CHEESE   ;99482412487
365 EVERYDAY VALUE  MULTIGRAIN FIBER BREAD   ;99482449629
365 EVERYDAY VALUE  MULTIGRAINS & SEED BREAD   ;99482455866
365 EVERYDAY VALUE  MULTIGRAIN STUFFING MIX   ;99482439255
365 EVERYDAY VALUE  MULTIGRAIN WAFFLES   ;99482442828
365 EVERYDAY VALUE  NAAN CHIPS TAMAIND   ;99482452872
365 EVERYDAY VALUE  100% NATURALLY FLAVORED JUICE  POMEGRANATE   ;99482421045
365 EVERYDAY VALUE  NONFAT MILK   ;99482437855
365 EVERYDAY VALUE  NONFAT YOGURT   ;99482446826
365 EVERYDAY VALUE  OLIVE OIL   ;99482438142
365 EVERYDAY VALUE  ORGANIC - 100% APPLE JUICE   ;99482454005
365 EVERYDAY VALUE  ORGANIC APPLE SAUCE  CINNAMON   ;99482435660
365 EVERYDAY VALUE  ORGANIC APPLE SAUCE  MIXED BERRY   ;99482435707
365 EVERYDAY VALUE  ORGANIC BARBECUE SAUCE   ;99482454784
365 EVERYDAY VALUE  ORGANIC BARLEY  PEAS & LENTILS   ;99482455170
365 EVERYDAY VALUE  ORGANIC BEEF JERKEY  ORIGINAL   ;99482415198
365 EVERYDAY VALUE  ORGANIC BEEF JERKY TERIYAKI   ;99482415211
365 EVERYDAY VALUE  ORGANIC  BLACK BEANS   ;99482414757
365 EVERYDAY VALUE  ORGANIC BLACK CHIA SEED   ;99482453800
365 EVERYDAY VALUE  ORGANIC BLACK FOREST UNCURED HAM   ;99482452629
365 EVERYDAY VALUE  ORGANIC BLUEBERRY FRUIT STRIP   ;99482418007
365 EVERYDAY VALUE  ORGANIC BRAN FLAKES CEREAL   ;99482438982
365 EVERYDAY VALUE  ORGANIC  BROWN FLAXSEED   ;99482450571
365 EVERYDAY VALUE  ORGANIC BUTTERMILK RANCH   ;99482453695
365 EVERYDAY VALUE  ORGANIC BUTTERNUT SQUASH RAVIOLI   ;99482425968
